normalized_brand,legacy_primary_brand,primary_brand,brand_entity_raw,brand_entity_source,brand_alias_source,brand_alias_review_status,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,proposed_mapping_source,proposed_review_note,proposed_matched_mapping_brand,company_mapping_would_change,normalized_brand_is_top9_portfolio,product_count,example_product_names,example_off_brands_raw
casino bio,casino bio,casino,casino bio,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Manual review / complex ownership,Groupe Casino,direct,layer3_review_decision_20260824,Obvious Casino retailer/private-label brand line.,casino bio,True,False,33,Sirop Grenadine | Bio Soja cuisine | Cidre bouché brut biologique 5% vol 75cl bio | 100 % Pur Jus Orange pressée avec pulpe | 100 % Pur Jus Pomme bio,Casino Bio | Casino Bio | Casino Bio | CASINO BIO | CASINO BIO
Nescafé Dolce Gusto,dolce gusto,dolce gusto,nescafe,existing_company_brand_mapping_token_match,curated_mechanical_brand_alias,confirmed,beverages,France,FRANCE,Other / not mapped to a company,Nestlé,direct,top_company_brand_portfolio_matrix.csv,Official Nestlé A-Z brand list,nescafe dolce gusto,True,True,31,Cappuccino | Capsules NESCAFE Dolce Gusto Espresso Ristretto 16 Capsules | Marrakech tea | DOLCE GUSTO Grande | Coffret Espresso,"Dolce Gusto, Nescafé | Dolce gusto, Nescafé | Dolce Gusto, Nescafé | Dolce Gusto, Nescafé | Dolce Gusto, Nescafé"
kettle brand,kettle,kettle,kettle brand,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,snacks,United States,US_CANADA,Other / not mapped to a company,Manual review / complex ownership,manual_review,multiple_or_manual_mapping_rows,Multiple direct/manual mapping rows exist for this brand.,kettle brand,True,False,31,Potato Chips New York Cheddar | Potato Chips Sea Salt & Vinegar | Organic Potato Chips Sea Salt | Potato Chips Krinkle Cut Sea Salt | Potato Chips Krinkle Cut Salt & Fresh Ground Pepper,"kettle,Diamond Foods Inc., Kettle Brand | Kettle, Kettle Brand | Kettle, Kettle Brand | Kettle, Kettle Brand | Kettle, Kettle Brand"
Capri Sun,caprisun,caprisun,capri sun,existing_company_brand_mapping_token_match,top9_portfolio_brand_alias,confirmed,beverages,United States,US_CANADA,Other / not mapped to a company,Kraft Heinz,market_scoped,layer3_review_decision_20260824,Market-scoped routing from Top 9 matrix; review if product geography is missing or conflicting. | Proposed company mapping is concrete; approve for launch. | Corrected before upsert-ready split: known complex/market-scoped or licensed brand; do not mark as plain direct.,Capri Sun,True,True,30,"Mountain Cooler | Strawberry juice drink pouches | Tropical punch juice pouch pouches | Grape flavored juice drink blend, grape | Capri sun, fruit juice, surfer cooler mixed fruit",Caprisun | Caprisun | Caprisun | Caprisun | Caprisun
paturages,les mousquetaires,les mousquetaires,paturages,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,multiple_or_manual_mapping_rows,Multiple direct/manual mapping rows exist for this brand.,paturages,True,False,29,"Lait uht entier bq 1l | Crème Fraîche Épaisse Entière (30 % MG) | P'TIT AROM YAOURT AROMATISE 16X125G - fruits des bois, noix de coco, framboise, abricot, banane, fraise - P'tits Prods | Lait frais demi-écrémé | Lait uht 1/2 ecreme bt 1l","Les Mousquetaires, Páturages, Sélection des Mousquetaires | Les Mousquetaires, Páturages, Sélection des Mousquetaires | Les Mousquetaires, Páturages, Sélection des Mousquetaires | Les Mousquetaires, Páturages, Sélection Intermarché | Les Mousquetaires, Páturages, Sélection des Mousquetaires"
Monster Energy,monster,monster,monster energy,existing_company_brand_mapping_token_match,top9_portfolio_brand_alias,confirmed,beverages,France,FRANCE,Other / not mapped to a company,Monster Beverage Corp,market_scoped,top_company_brand_portfolio_matrix.csv,Market-scoped routing from Top 9 matrix; review if product geography is missing or conflicting.,monster energy,True,True,28,Ripper Juiced | Monster | Monster Assault | Monster zero 50cl édition call of duty | Monster Energy,"Monster, Monster Energy, Monster Energy Company | Monster, Monster Energy | Monster, Monster Energy | Monster, Monster Energy, Monster Energy Company | Monster, Monster Energy, Monster Energy Company"
u bio,u bio,u,u bio,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,beverages,France,FRANCE,Manual review / complex ownership,Système U,direct,layer3_review_decision_20260824,Obvious Système U retailer/private-label brand line in France.,u bio,True,False,27,Jus de Pomme | Jus de Citron pur jus bio | Boisson au soja vanille | Nectar orange pêche abricot | Nectar multifruit,U bio | U BIO | U Bio | U Bio | U Bio
u saveurs,u saveurs,u,u saveurs,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,dairies,France,FRANCE,Manual review / complex ownership,Système U,direct,layer3_review_decision_20260824,Obvious Système U retailer/private-label brand line in France.,u saveurs,True,False,27,Selles-sur-Cher | Burrata à la truffe d'été | Comté | Comte affine 18 mois minimum | Comté AOP au lait cru,U Saveurs | U Saveurs | U Saveurs | U Saveurs | U Saveurs
Chocapic,nestle,nestle,Chocapic,top9_portfolio_token_match,top9_portfolio_brand_alias,confirmed,cereals,France,FRANCE,Nestlé,Manual review / complex ownership,manual_review,multiple_or_manual_mapping_rows,Multiple direct/manual mapping rows exist for this brand.,chocapic,True,True,26,chocapic | Chocapic chococrush | Chocapic | chocapic sans huile palme | Chocapic,"Nestlé, Chocapic | Nestlé, Chocapic | Nestlé, Chocapic | Nestlé, Chocapic | Nestlé, Chocapic"
yoplait,panier recette classique,panier recette classique,yoplait,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,dairies,France,FRANCE,Other / not mapped to a company,General Mills,direct,company_brand_mapping.csv,US yogurt business; European Yoplait ownership is different,yoplait,True,False,26,"Yaourt sucré, aux fruits, aromatisé | Panier de Yoplait Fraise - Framboise | Panier de Yoplait Plus de fruits | PANIER DE YOPLAIT | Panier de Yoplait j'aime la rhubarbe","Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait | Panier recette classique, Yoplait"
