review_decision,review_note,normalized_brand,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,company_mapping_would_change,product_count,example_product_names,example_off_brands_raw
,,bai,beverages,Italy,SOUTHERN_EUROPE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,BRASILIA BLUEBERRY Blueberry Flavored Antioxidant Beverage with Vitamin C | Zambia Bing Cherry,bai | bai
,,baie des tresors,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Rhum agricole Fruits des pluies | Plein Soleil,Baie des Trésors | Baie des Trésors
,,baignes,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Crème Liquide | Crème Anglaise Uht,"Baignes, Candia | Baignes"
,,baileys,beverages,France,FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Baileys red velvet cupcake | Bailey's Espresso Cream,Baileys | Baileys
,,baileys,dairies,United Kingdom,UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Pouring Cream | Squirty Cream with the Taste of Baileys,Baileys | Baileys
,,baileys,snacks,France,FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Chocolate original | Chocolate Truffels Original,Baileys | Baileys
,,baileys,snacks,France,FRANCE|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Baileys Creams Milk Chocolate | Chocolate truffles with a hint of Baileys,"Baileys | Baileys, Lie Chocolates"
,,baio,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Pommes pressées | Jus Pomme Fraise,BAIO | Baïo
,,bake believe,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Semi-Sweet Chocolate No Sugar Added Baking Chips | Milk Chocolate No Sugar Added Baking Chips,Bake Believe | Bake Believe
,,bake one inc,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Mini Cream Cheese Croissaints | Mini Muffin,Bake One Inc. | Bake One Inc.
,,bake shop bakery,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Chocolate Chunk cookies | Oatmeal Cranberry Cookies,Bake Shop bakery | Bake Shop Bakery
,,bakeology,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Snickerdoodle Crunchy Cookie Bites | Snickerdoodle Crunchy Cookie Bites,Bakeology | Bakeology
,,baker,dairies,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Baker, string cheese sticks | String Cheese",Baker | Baker
,,baker mills inc,cereals,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Crunchy Oatmeal, With 10g Protein, Wild Blueberry | Unleashed oatmeal",Baker Mills Inc | Baker Mills Inc
,,bakers harvest,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Original Style Saltines Crackers | Thin Wheat Crackers,Baker's Harvest | Baker's Harvest
,,bakery,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Tortilla chips | Blueberry Muffins,Bakery | bakery
,,bakery on main,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Bakery on main, granola bars, peanut butter & jelly | Bakery on main, apple cinnamon granola bars",Bakery On Main | Bakery On Main
,,bakery venture group inc,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Boulangerie Solignac, Whole Wheat Butter Croissants | Boulangerie Solignac, Almond Puff",Bakery Venture Group Inc. | Bakery Venture Group Inc.
,,bakoma,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Jogurt 7 zbóż że śliwkami | Jogurt kremowy jagodowy typu skyr,Bakoma | Bakoma
,,bakoma,dairies,Poland,UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Natural kefir | Śmietana 18%,Bakoma | Bakoma
,,balade cevenole,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Balade cévenole | Vin blanc,balade cévenole | Balade cévenole
,,balanced tiger llc,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Chocolate Chip Cookie Dough | Vanilla Chai,"Balanced Tiger LLC, Balanced Tiger | Balanced Tiger LLC, Balanced Tiger"
,,balconi,snacks,France,FRANCE|SOUTHERN_EUROPE|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Wafers al Cacao | Wafers Bfb Hazelnut,Balconi | Balconi
,,balconi,snacks,France,FRANCE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Wafer Cubes Hazelnuts | Wafers - Nocciola - Hazelnut,Balconi | Balconi
,,balconi,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Mix Max Sponge Cake Snack Filled with Milk Cream | Duo Croissant,Balconi | Balconi
,,balderson,dairies,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,2 year aged cheddar cheese | Gouda,Balderson | Balderson
