parent_company_source,official_brand_name,canonical_brand,brand_key,default_assigned_company,default_relationship_type,regional_exception_flag,exception_region_code,exception_region_name,exception_assigned_company,exception_relationship_type,ownership_resolution_status,market_scope,category_scope,source_1_nestle_official_brand_list,source_2_regional_exception_matrix,notes
Nestlé,Ovaltine,Ovaltine,ovaltine,Nestlé,Regional exception brand,yes,ROW,Rest of World,Associated British Foods,Trademark / regional owner,market_scoped,Rest of World,food_beverage,,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file brand not observed in official Nestlé A-Z extract used today
Nestlé,Peptamen,Peptamen,peptamen,Nestlé,Official Nestlé brand,no,,,,,direct,Global,health_science,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Perrier,Perrier,perrier,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Plant-based and so good!,Plant-based and so good!,plant based and so good,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Pro Plan Veterinary Diets,Pro Plan Veterinary Diets,pro plan veterinary diets,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Pure Encapsulations,Pure Encapsulations,pure encapsulations,Nestlé,Official Nestlé brand,no,,,,,direct,Global,health_science,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,PURINA,PURINA,purina,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,PURINA ONE,PURINA ONE,purina one,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,PURINA Pro Plan,PURINA Pro Plan,purina pro plan,Nestlé,Official Nestlé brand,no,,,,,direct,Global,petcare,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Quality Street,Quality Street,quality street,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Resource,Resource,resource,Nestlé,Official Nestlé brand,no,,,,,direct,Global,health_science,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope
Nestlé,Roastelier by Nescafé,Roastelier by Nescafé,roastelier by nescafe,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Rolo,Rolo,rolo,Nestlé,Regional exception brand,yes,US,United States,The Hershey Company,Licensed Perpetual,market_scoped,US,food_beverage,,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file brand not observed in official Nestlé A-Z extract used today
Nestlé,Rolo,Rolo,rolo,Nestlé,Regional exception brand,yes,ROW,Rest of World,Nestlé,Wholly Owned,market_scoped,Rest of World,food_beverage,,C:/Users/julia/OneDrive/Desktop/Downloads_temp/nestle_brand_regional_exception_matrix.csv,Exception file brand not observed in official Nestlé A-Z extract used today
Nestlé,S.Pellegrino,S.Pellegrino,s pellegrino,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Sahne Nuss,Sahne Nuss,sahne nuss,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
Nestlé,Sanpellegrino,Sanpellegrino,sanpellegrino,Nestlé,Official Nestlé brand,no,,,,,direct,Global,food_beverage,https://www.nestle.com/brands/brandssearchlist,,Official Nestlé A-Z brand list
