barcode,product_name,brands,primary_brand,query_category,off_categories,countries,observed_market_region_codes,image_url,energy_kcal_off_raw,energy_kcal,fat_100g_off_raw,fat_100g,saturated_fat_100g_off_raw,saturated_fat_100g,carbs_100g_off_raw,carbs_100g,sugars_100g_off_raw,sugars_100g,fiber_100g_off_raw,fiber_100g,protein_100g_off_raw,protein_100g,salt_100g_off_raw,salt_100g,nutrition_quality_status,outlier_type,include_in_product_table,include_in_aggregates,include_in_charts,nutrition_quality_reason
4056489189244,Chocolate 70% cacao,fin carre,fin carre,snacks,"Botanas,Snacks dulces,Cacao y sus productos,Chocolates,Chocolates con edulcorantes,Chocolates negros,Chocolates negros con edulcorantes",en:bulgaria|en:croatia|en:france|en:portugal|en:romania|en:slovakia|en:spain,FRANCE|SOUTHERN_EUROPE,https://images.openfoodfacts.org/images/products/405/648/918/9244/front_en.101.400.jpg,2660.0,,42.2,42.2,26.9,26.9,34.3,34.3,1.2,1.2,,,8.2,8.2,0.03,0.03,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4056489267744,Croissants,lidl,lidl,snacks,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Croissants,Croissants au beurre",en:france,FRANCE,https://images.openfoodfacts.org/images/products/405/648/926/7744/front_en.37.400.jpg,1051.62523900573,,22.3,22.3,10.8,10.8,46.5,46.5,9.5,9.5,,,7.3,7.3,1.04,1.04,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4056489438564,Granola Coconut Cashew & Almond,crownfield,crownfield,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Mueslis, Breakfast cereal fortified with vitamins, en:cereals-with-fruits",en:ireland|en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/405/648/943/8564/front_en.34.400.jpg,960.0,,12.5,12.5,2.2,2.2,65.5,65.5,15.5,15.5,7.6,7.6,9.3,9.3,0.05,0.05,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4056489476276,Milk Chocolate Digestives,tower gate,tower gate,snacks,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits, Digestives covered with chocolate",en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/405/648/947/6276/front_en.34.400.jpg,2982.03592814371,,23.9,23.9,13.0,13.0,63.0,63.0,28.4,28.4,2.8,2.8,6.3,6.3,0.62,0.62,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4056489612803,Pépites chocolat noir,navarre,navarre,snacks,"Snacks, Snacks sucrés, Cacao et dérivés, Surgelés, Chocolats, Chocolats noirs, en:Snacks Snacks sucrés Cacao et dérivés Chocolats Chocolats noirs",en:france,FRANCE,https://images.openfoodfacts.org/images/products/405/648/961/2803/front_en.4.400.jpg,3550.0,,28.0,28.0,17.3,17.3,51.0,51.0,47.7,47.7,8.3,8.3,6.0,6.0,0.01,0.01,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4061462736346,Speculoos Cookies,benton’s,bentons,snacks,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Almond cookies, fr:Tuile aux amandes, en:speculoos",en:united-states,US_CANADA,https://images.openfoodfacts.org/images/products/406/146/273/6346/front_en.23.400.jpg,5500.0,,19.047619047619,19.047619047619,7.14285714285714,7.14285714285714,80.9523809523809,80.9523809523809,38.0952380952381,38.0952380952381,0.0,0.0,0.0,0.0,0.952380952380952,0.952380952380952,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4067796000283,,dmbio,dmbio,cereals,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Mueslis, Knuspermüsli, en:cereals-with-fruits",en:austria|en:croatia|en:france|en:germany,DACH|FRANCE,https://images.openfoodfacts.org/images/products/406/779/600/0283/front_hr.21.400.jpg,935.707456978966,,16.0,16.0,5.4,5.4,57.0,57.0,14.0,14.0,7.8,7.8,8.9,8.9,0.2,0.2,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4088600046785,British Mature Cheddar Grated,emporium,emporium,dairies,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Cheeses from the United Kingdom, Cheeses from England, Cheddar cheese, en:grated-cheese",en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/408/860/004/6785/front_en.6.400.jpg,1730.0,,34.3,34.3,21.4,21.4,1.4,1.4,0.1,0.1,0.2,0.2,25.0,25.0,1.75,1.75,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4088600047140,Cheese Spread,emporium,emporium,dairies,"Dairies, Fermented foods, Fermented milk products, Spreads, Cheeses, Salted spreads, Cheese spreads",en:united-kingdom,UK_IE,https://images.openfoodfacts.org/images/products/408/860/004/7140/front_en.14.400.jpg,6300.0,,11.2,11.2,7.2,7.2,13.8,13.8,6.9,6.9,0.5,0.5,12.1,12.1,1.535,1.535,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
4088600113463,Fizz Strawberry Lances,dominion,dominion,snacks,en:candies,en:france,FRANCE,https://images.openfoodfacts.org/images/products/408/860/011/3463/front_en.23.400.jpg,1468.0,,2.2,2.2,1.3,1.3,83.0,83.0,53.0,53.0,1.6,1.6,2.7,2.7,0.04,0.04,data_quality_error,data_quality_error,False,False,False,energy_above_900_kcal
